Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-5.882353	2.2461038	-3.0	-10.0	5.882353	-0.35811886	0.061309487	-0.12767804	-0.4843256	100	-4.053116e-08	19.428835	-0.033336967	-16.255713	0.686231	0.017112965	0.23	5.0	0.7262659072875977
1	-6.125	2.2325714	-2.0	-10.0	6.125	-4.008356	0.8839517	-1.7869774	-5.305843	200	1.680851e-07	11.803847	-0.0064375526	-9.715155	0.663941	0.015722308	0.27	9.0	1.3317830562591553
2	-5.5	2.6509955	-1.0	-11.0	5.5	-6.340247	1.7748781	-1.8188143	-8.408551	300	-1.4960766e-07	7.3565674	-0.05132371	-6.1078405	0.618745	0.012001872	0.28	79.0	2.162719964981079
3	-4.7619047	2.0909045	-1.0	-9.0	4.7619047	-8.765758	1.8243134	-2.489322	-10.903816	400	5.364418e-08	5.1369653	-0.06995513	-3.5048485	0.6328298	0.015328979	0.22	76.0	2.9508721828460693
4	-4.6666665	2.2747753	-1.0	-9.0	4.6666665	-9.620594	2.458644	-2.7574205	-12.265869	500	-1.5407801e-07	7.1650567	-0.054213885	-4.711389	0.6300891	0.01868458	0.19	20.0	3.670130968093872
5	-4.9473686	2.372511	-1.0	-10.0	4.9473686	-10.8846855	2.3843415	-3.0662198	-14.061077	600	-6.2584875e-09	6.7276015	-0.07064003	-4.388386	0.61914366	0.0151985	0.23	57.0	4.466350793838501
6	-6.6666665	2.6499476	-2.0	-12.0	6.6666665	-12.384918	2.8337376	-4.250422	-15.053742	700	6.377697e-08	8.502596	-0.034401737	-7.4025307	0.57675	0.016292257	0.2	16.0	5.035477161407471
7	-4.125	1.7395521	-1.0	-8.0	4.125	-13.998358	2.856629	-5.3297276	-17.782427	800	2.8312206e-08	3.737195	-0.037507076	-2.9415383	0.5794194	0.015448382	0.12	22.0	5.851072072982788
8	-5.0	2.1213202	-1.0	-9.0	5.0	-14.775553	2.608432	-5.439867	-17.913578	900	9.6559525e-08	5.8740215	-0.08667146	-4.8402896	0.51816183	0.015640551	0.33	72.0	6.869144916534424
9	-4.9	2.2561028	-2.0	-10.0	4.9	-16.063253	2.569529	-8.6080675	-20.220646	1000	3.5464765e-08	3.3735645	-0.019262178	-2.8986588	0.48659188	0.017140701	0.16	9.0	7.5767529010772705
10	-4.5238094	2.238602	-1.0	-9.0	4.5238094	-17.054472	2.4678717	-11.425731	-21.438253	1100	-3.308058e-08	4.189132	-0.016873742	-3.4135191	0.46074623	0.016289841	0.06	3.0	8.406005144119263
11	-5.1578946	2.1340144	-2.0	-9.0	5.1578946	-18.41907	2.999646	-12.159969	-23.180534	1200	8.34465e-09	3.1864364	-0.05824229	-2.815855	0.41977975	0.012135876	0.21	79.0	9.132683992385864
12	-5.0	2.6157417	-1.0	-10.0	5.0	-18.352018	2.8778956	-12.846371	-24.624573	1300	7.152557e-09	5.1712513	-0.022584258	-4.7437797	0.33353832	0.01614589	0.09	12.0	9.806921005249023
13	-5.105263	2.2217758	-1.0	-10.0	5.105263	-21.081116	2.61971	-15.892401	-26.463331	1400	-1.2814999e-08	3.4346771	-0.025620144	-3.075533	0.3487332	0.015165688	0.13	10.0	10.450359106063843
14	-4.7619047	2.3483481	-1.0	-11.0	4.7619047	-20.027683	3.2670777	-10.948899	-26.924936	1500	-8.34465e-09	2.7925637	-0.048591476	-2.479346	0.32470253	0.015100876	0.2	44.0	11.205020904541016
15	-5.2777777	2.1293075	-1.0	-9.0	5.2777777	-24.03606	3.1971376	-14.888741	-27.83763	1600	-4.8279762e-08	3.6839156	-0.015796943	-3.229608	0.4190877	0.01594577	0.1	7.0	11.840440034866333
16	-6.6	2.3036203	-3.0	-10.0	6.6	-23.690659	3.1027067	-16.528221	-30.075161	1700	-1.4245511e-07	5.723352	-0.042938158	-5.5050755	0.31958574	-0.011243527	0.16	79.0	12.473747968673706
17	-4.409091	2.424479	-1.0	-9.0	4.409091	-24.978355	3.1098871	-18.569965	-31.042377	1800	1.1771918e-08	1.861829	-0.018628301	-1.6866493	0.35489523	0.017554725	0.05	6.0	13.16245698928833
18	-4.75	1.6085708	-1.0	-8.0	4.75	-26.023874	3.0142708	-19.8497	-31.54962	1900	4.7907232e-08	1.3666366	-0.0105857095	-1.1796715	0.31380445	0.015762685	0.05	5.0	13.813131093978882
19	-4.714286	2.547508	-1.0	-12.0	4.714286	-27.022408	3.0351255	-21.090631	-32.630623	2000	2.30968e-08	1.9319093	-0.015195561	-1.7253867	0.36656693	0.016951313	0.1	10.0	14.486989974975586
20	-4.6666665	1.910705	-2.0	-8.0	4.6666665	-28.208323	3.650025	-20.268066	-33.929104	2100	3.963709e-08	2.17984	-0.0316641	-1.8990648	0.35013878	0.017922139	0.24	12.0	15.31956696510315
21	-4.5454545	2.7423825	-1.0	-10.0	4.5454545	-29.345003	4.074926	-22.915792	-35.871864	2200	-4.649162e-08	2.6892316	-0.0320079	-2.4574192	0.41272563	0.02689292	0.21	2.0	16.188530921936035
22	-5.0	2.1521103	-2.0	-11.0	5.0	-29.20876	3.430621	-20.402319	-37.42252	2300	3.695488e-08	1.2116181	-0.0590282	-1.1233966	0.33574703	0.016323559	0.24	28.0	17.143321990966797
23	-5.105263	2.359633	-2.0	-10.0	5.105263	-30.390596	3.344033	-24.306255	-38.1068	2400	-8.940697e-09	1.667437	-0.018750368	-1.5636344	0.2690217	0.015868163	0.09	15.0	17.85819101333618
24	-6.1875	2.766287	-1.0	-10.0	6.1875	-30.400904	2.9681304	-25.078684	-39.00942	2500	4.9695373e-08	1.7406502	-0.029823072	-1.6591601	0.30561265	0.015467999	0.13	7.0	18.604184865951538
25	-5.4444447	2.477055	-1.0	-9.0	5.4444447	-31.783009	3.4310212	-24.68241	-39.08452	2600	-8.605421e-08	1.6872222	-0.022554267	-1.5138605	0.31317428	0.015784653	0.08	10.0	19.256514072418213
26	-5.647059	2.423929	-2.0	-9.0	5.647059	-32.822395	3.3362355	-26.11118	-40.03761	2700	2.2947788e-08	1.9420031	-0.012202018	-1.8330083	0.3066869	0.019058894	0.14	6.0	19.884088039398193
27	-5.2777777	2.863672	-1.0	-10.0	5.2777777	-34.8796	3.2072937	-27.528454	-41.290436	2800	-8.642674e-08	2.3976057	-0.031953055	-2.2583477	0.26066655	0.015404191	0.15	35.0	20.548712968826294
28	-5.647059	1.9385008	-3.0	-9.0	5.647059	-35.39103	3.7090175	-25.90765	-41.967594	2900	8.1956386e-10	1.2836792	-0.026214652	-1.1723104	0.3186284	0.01512287	0.1	24.0	21.228424072265625
29	-5.4444447	2.3622546	-2.0	-9.0	5.4444447	-34.195583	4.555791	-25.372202	-42.870453	3000	-2.7045608e-08	2.5277743	-0.058260873	-2.3665326	0.24905281	0.015150804	0.21	66.0	21.9597589969635
30	-4.95	2.3973944	-1.0	-9.0	4.95	-35.250996	4.251095	-28.644928	-44.16805	3100	6.109476e-09	1.4161488	-0.01644533	-1.1895453	0.2490378	0.02376297	0.08	4.0	22.84002113342285
31	-4.75	2.141845	-1.0	-9.0	4.75	-37.241703	3.5651257	-30.067682	-45.683926	3200	-3.8743018e-09	1.4999079	-0.038060796	-1.4527657	0.17651531	-0.01136535	0.13	79.0	23.626596927642822
32	-3.96	1.731589	-1.0	-8.0	3.96	-38.458797	3.7199695	-32.12345	-45.260326	3300	5.990267e-08	0.9360452	-0.034607258	-0.88796693	0.20151845	0.015140569	0.1	72.0	24.56520700454712
33	-4.6666665	2.1894407	-2.0	-11.0	4.6666665	-39.211143	3.0090141	-32.523956	-45.369453	3400	2.5108456e-08	0.8602513	-0.0156206265	-0.8035835	0.16424686	0.015201659	0.09	10.0	25.295356035232544
34	-4.0833335	2.2345147	-1.0	-10.0	4.0833335	-39.9939	3.139899	-34.00571	-45.790813	3500	-4.8652293e-08	0.9199356	-0.009444496	-0.879206	0.2010238	0.019666806	0.09	9.0	26.06073307991028
35	-4.2272725	2.2549303	-1.0	-10.0	4.2272725	-40.901405	3.5526505	-33.594135	-47.023205	3600	1.5109778e-07	1.4255528	-0.030667312	-1.2680753	0.21957184	0.015297783	0.15	65.0	26.859177112579346
36	-5.8235292	2.3821714	-3.0	-10.0	5.8235292	-40.343983	3.0100162	-34.634407	-48.47696	3700	9.149313e-08	1.5817475	-0.03214388	-1.4332237	0.26958743	0.015528286	0.15	12.0	27.519438982009888
37	-5.470588	3.0315528	-1.0	-10.0	5.470588	-41.139366	3.2754261	-35.234135	-48.97754	3800	-1.4267862e-08	1.3153598	-0.01886129	-1.2591265	0.28888738	0.015654827	0.04	4.0	28.130149841308594
38	-4.95	2.5588083	-1.0	-10.0	4.95	-40.87538	2.8010771	-35.464207	-46.427525	3900	7.450581e-09	1.4386412	-0.015467043	-1.3390527	0.28323612	0.021319928	0.12	4.0	28.793533086776733
39	-4.8	2.942788	-1.0	-11.0	4.8	-43.65007	3.1129644	-31.816145	-48.877007	4000	-1.847744e-08	2.238839	-0.033666685	-2.1298065	0.32377502	0.015351376	0.21	24.0	29.496045112609863
