Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-5.7771344	2.7610266	-1.0	-13.0	5.7771344	-0.35406992	0.07364355	0.011366084	-0.5695104	4000	-4.1842462e-08	21.51346	-0.0075972984	-17.36273	0.6865317	0.01890039	0.4965	6.0	18.549243927001953
1	-5.6323943	2.8056922	-1.0	-15.0	5.6323943	-3.9704814	0.865242	-0.7113401	-5.296828	8000	6.9618224e-08	13.874627	-0.011111083	-10.923976	0.65780735	0.018272892	0.32375	6.0	37.3961398601532
2	-5.592437	2.6956754	-1.0	-14.0	5.592437	-6.8863106	1.5247946	-2.1687193	-8.748126	12000	1.5342235e-07	8.165799	-0.00426813	-5.963401	0.59752685	0.015312209	0.2755	8.0	57.212817907333374
3	-5.309429	2.613913	-1.0	-13.0	5.309429	-8.9614725	1.9871937	-1.810872	-11.55667	16000	2.7656554e-08	5.042996	-0.01104478	-3.040725	0.52221256	0.0063669337	0.0795	79.0	80.40155982971191
4	-5.172057	2.347583	-1.0	-12.0	5.172057	-10.641186	1.9370745	-4.4272943	-13.245573	20000	2.1219254e-08	4.2081356	-0.013548518	-2.495418	0.49522486	0.006731902	0.07775	79.0	101.57003378868103
5	-5.226144	2.3829122	-1.0	-13.0	5.226144	-12.049721	2.0282273	-5.8100524	-14.85862	24000	3.361702e-08	4.432877	-0.012134703	-2.647831	0.43816152	0.0063048685	0.08225	79.0	123.76867294311523
6	-4.932099	2.334197	-1.0	-12.0	4.932099	-13.517576	2.1529946	-7.455236	-16.598097	28000	1.0204315e-07	3.541012	-0.010155839	-2.2137716	0.38793972	0.0027399233	0.0545	79.0	147.6911859512329
7	-5.0492425	2.37864	-1.0	-12.0	5.0492425	-14.633943	2.2284503	-8.48907	-18.208292	32000	-5.722046e-09	3.1283305	-0.011144047	-2.0522997	0.3586706	0.0053258757	0.051	79.0	169.62626481056213
8	-5.0062656	2.4141834	-1.0	-12.0	5.0062656	-16.108	2.3609505	-9.921163	-19.884111	36000	-4.4345857e-08	2.7008462	-0.013104128	-1.7131176	0.3385886	0.0050951303	0.062	79.0	190.95255494117737
9	-4.915129	2.3314376	-1.0	-12.0	4.915129	-17.265226	2.472268	-8.246226	-21.387844	40000	3.0994414e-08	2.4584522	-0.016116865	-1.5636419	0.33329064	0.0041142427	0.07	79.0	211.7281129360199
10	-4.967702	2.2763052	-1.0	-13.0	4.967702	-18.359917	2.566967	-9.87282	-22.685518	44000	7.152557e-09	2.3481176	-0.013500323	-1.4875169	0.30724135	0.0019712336	0.051	79.0	231.6771719455719
11	-5.080051	2.2752066	-1.0	-12.0	5.080051	-19.46015	2.6318736	-12.588242	-24.017267	48000	1.0848045e-08	2.2277899	-0.015640598	-1.4726918	0.29768062	0.005019196	0.06425	79.0	251.01237297058105
12	-4.991261	2.3166711	-1.0	-12.0	4.991261	-20.54109	2.6509008	-13.174365	-25.392393	52000	-3.671646e-08	2.203018	-0.01479322	-1.4293349	0.29075554	0.005374863	0.061	79.0	271.0899088382721
