Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-7.753398	4.1429977	-1.0	-20.0	7.753398	-0.08875728	0.030072428	0.07415593	-0.22943288	4000	0.30538693	39.90167	-0.037593335	-28.049791	3.606877	2.0618103	0.9898631	79.0	492.9101309776306
1	-7.6316795	4.1503043	-1.0	-25.0	7.6316795	-5.366264	0.0009419669	-5.332449	-5.366695	8000	0.28780535	35.587612	-0.0021444857	-24.754002	2.72724	1.9893245	0.98296565	79.0	981.6910350322723
2	-7.988	4.2294035	-1.0	-24.0	7.988	-10.3118105	0.00021777098	-10.304863	-10.311886	12000	0.29372633	33.412617	-0.00069597363	-23.575462	2.630191	2.1040926	0.9918659	79.0	1474.6978352069855
3	-7.714286	3.9150522	-1.0	-20.0	7.714286	-15.019705	0.0026438243	-14.852625	-15.019777	16000	0.28013846	27.187828	-0.010289341	-19.308067	2.528769	2.331543	0.98987836	79.0	1971.5021171569824
4	-7.413729	4.1171927	-1.0	-23.0	7.413729	-19.261957	0.00015000833	-19.253044	-19.261982	20000	0.28182176	25.007103	-0.015290499	-17.39711	2.4764214	2.836189	0.98110646	79.0	2467.185992002487
5	-7.352941	3.9056509	-1.0	-24.0	7.352941	-23.291	7.211533e-05	-23.288258	-23.291018	24000	0.28416327	21.336546	-0.014910549	-14.972366	2.5042126	2.977611	0.9817879	79.0	2966.3369522094727
6	-7.57685	3.730646	-1.0	-22.0	7.57685	-27.043892	3.7157763e-05	-27.042507	-27.043903	28000	0.27279994	19.111683	-0.0050148666	-13.509695	2.3158948	2.8454957	0.9856087	79.0	3463.435792207718
7	-7.791423	3.761061	-1.0	-24.0	7.791423	-30.626038	9.480118e-05	-30.620733	-30.626053	32000	0.28029814	17.77521	-0.00851658	-12.66493	2.3781514	2.8558438	0.98592925	79.0	3955.215665102005
8	-7.369004	3.8255792	-1.0	-24.0	7.369004	-34.110733	3.098288e-05	-34.10962	-34.110744	36000	0.282196	15.547677	-0.016627342	-10.895407	2.3901138	2.944312	0.9842735	79.0	4447.84809923172
9	-7.117857	3.6567504	-1.0	-19.0	7.117857	-37.353302	0.45324463	-8.701265	-37.36067	40000	0.2311591	14.418772	-0.0131044835	-9.224972	2.3231673	2.777381	0.9846917	79.0	4956.837469100952
