Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-7.556818	4.0024366	-1.0	-20.0	7.556818	0.39169103	0.06883475	0.6199736	0.043136314	4000	-8.106232e-08	38.443867	-0.02302669	-28.35772	nan	0.015055992	0.1375	31.0	15.966727018356323
1	-7.4953094	3.9706328	-1.0	-21.0	7.4953094	-4.486435	0.51702297	-1.785259	-5.189719	8000	2.8300286e-07	28.999405	-0.023183975	-21.103739	nan	0.015110801	0.19775	31.0	31.023303031921387
2	-7.121212	3.5933585	-1.0	-19.0	7.121212	-8.402467	1.379229	-0.5120131	-9.3869505	12000	1.0538101e-07	18.756207	-0.03568665	-13.605051	nan	0.010070592	0.18425	79.0	48.11134195327759
3	-6.884483	3.4713755	-1.0	-18.0	6.884483	-11.446989	2.0980024	-1.4320483	-13.306148	16000	-2.2411346e-08	11.816135	-0.018171139	-7.296413	nan	0.016358247	0.15075	11.0	64.26176500320435
4	-6.3175354	3.1137404	-1.0	-17.0	6.3175354	-13.541144	2.5349808	-2.9506197	-16.066923	20000	7.557869e-08	7.1218677	-0.040975224	-3.9122932	nan	0.013970705	0.21725	79.0	80.90346097946167
5	-6.22084	2.7970881	-1.0	-16.0	6.22084	-15.104373	2.5983417	1.4201787	-17.815971	24000	-3.7789345e-08	5.580934	-0.041672155	-3.1528645	nan	0.0149233565	0.19575	79.0	97.67258787155151
6	-6.1826625	2.81923	-1.0	-15.0	6.1826625	-16.505772	2.4392703	-3.4690793	-19.314932	28000	4.696846e-08	5.615713	-0.04184642	-3.4952633	nan	0.014802816	0.21	79.0	114.62737083435059
7	-5.785507	2.6447253	-1.0	-16.0	5.785507	-18.120405	2.5444932	-5.5633774	-21.198675	32000	3.2663344e-08	4.68003	-0.025743335	-2.9288592	nan	0.015391073	0.1375	21.0	132.06180596351624
8	-5.54785	2.622478	-1.0	-14.0	5.54785	-19.591223	2.582875	-7.5659385	-22.913488	36000	-1.5974045e-08	3.9006848	-0.04073021	-2.2334456	nan	0.015071863	0.1945	73.0	151.33038187026978
9	-5.291005	2.4516432	-1.0	-17.0	5.291005	-20.659437	2.7244627	-10.052324	-24.396631	40000	5.4597855e-08	3.4675715	-0.03811631	-2.115971	nan	0.0151096815	0.1815	56.0	172.1525239944458
10	-5.270092	2.3240824	-1.0	-15.0	5.270092	-22.057234	2.541117	-11.443686	-25.604986	44000	-2.2172928e-08	3.2353833	-0.029026415	-2.0722055	nan	0.015071914	0.1485	34.0	193.3379099369049
11	-5.0530972	2.2998295	-1.0	-13.0	5.0530972	-23.225355	2.5545557	-12.864152	-26.925455	48000	-6.341934e-08	2.6432197	-0.026535343	-1.7100723	nan	0.015152372	0.14875	27.0	214.43075609207153
12	-5.1034484	2.189205	-1.0	-13.0	5.1034484	-24.208899	2.671456	-13.026076	-28.129578	52000	-8.21352e-08	2.5197008	-0.0225422	-1.6091356	nan	0.015072881	0.09175	21.0	235.81191492080688
13	-5.1150894	2.130536	-1.0	-12.0	5.1150894	-25.414904	2.5628562	-14.2552185	-29.24948	56000	7.43866e-08	2.7271543	-0.024444357	-1.8484397	nan	0.015444376	0.131	21.0	257.77301502227783
14	-4.783493	2.0378628	-1.0	-12.0	4.783493	-26.73565	2.7057395	-16.683048	-30.495613	60000	1.4305114e-08	2.2752542	-0.03281044	-1.4852767	nan	0.015146078	0.14525	49.0	278.640939950943
15	-4.6901407	1.9906464	-1.0	-13.0	4.6901407	-27.77782	2.6610482	-18.01066	-31.774714	64000	-8.606911e-08	2.0495982	-0.032568946	-1.3854094	nan	0.015025811	0.14	74.0	299.5288019180298
16	-4.538025	1.833283	-1.0	-11.0	4.538025	-28.930965	2.8035607	-18.205349	-33.022892	68000	-6.8306925e-08	1.6021385	-0.03170219	-1.0889652	nan	0.015002264	0.11275	73.0	321.3025188446045
17	-4.5472126	1.9245706	-1.0	-13.0	4.5472126	-29.821394	2.81177	-19.438784	-34.176384	72000	-7.522106e-08	1.8631114	-0.027840488	-1.2241664	nan	0.01504758	0.11575	59.0	342.6353120803833
18	-4.6457605	1.8450288	-1.0	-13.0	4.6457605	-30.677597	2.9283972	-19.612118	-35.297527	76000	-7.104874e-08	1.540111	-0.031157147	-1.025797	nan	0.012414694	0.11325	79.0	363.7789659500122
19	-4.5420456	1.6964012	-1.0	-11.0	4.5420456	-31.6775	2.9827259	-22.116596	-36.29992	80000	-1.4781952e-08	1.4914732	-0.028881978	-0.993867	nan	0.013462159	0.0965	79.0	385.1885118484497
20	-4.3934064	1.6939325	-1.0	-11.0	4.3934064	-32.511356	2.9527304	-22.825037	-37.353584	84000	-2.4318695e-08	1.3297728	-0.026870215	-0.83545053	nan	0.013819495	0.09425	79.0	407.55064487457275
21	-4.3329716	1.69239	-1.0	-10.0	4.3329716	-33.44043	2.9992974	-23.600458	-38.263634	88000	2.5272369e-08	1.2772348	-0.025833774	-0.8828205	nan	0.0150291445	0.09625	54.0	429.8782241344452
22	-4.39934	1.7272933	-1.0	-14.0	4.39934	-34.279133	3.0233305	-24.658463	-39.318108	92000	5.5789947e-08	1.2533468	-0.027470427	-0.8406176	nan	0.015070836	0.09925	58.0	451.96219301223755
23	-4.347826	1.6741954	-1.0	-12.0	4.347826	-35.021046	3.1102083	-25.418976	-40.269135	96000	-3.0994414e-08	1.2390181	-0.028794743	-0.7968036	nan	0.012731012	0.09375	79.0	474.84881806373596
24	-4.5409093	1.6301588	-1.0	-11.0	4.5409093	-35.824024	3.1985548	-25.782278	-41.23301	100000	3.6239623e-08	1.1942075	-0.022108687	-0.79834646	nan	0.01512694	0.095	30.0	496.3095290660858
25	-4.4609375	1.6891965	-1.0	-13.0	4.4609375	-36.74185	3.2681358	-27.405588	-42.18644	104000	-5.722046e-09	1.1339109	-0.028210891	-0.7303566	nan	0.015038353	0.094	58.0	518.9650621414185
26	-4.3060346	1.6831717	-1.0	-10.0	4.3060346	-37.26528	3.278777	-28.105995	-43.133907	108000	4.887581e-08	1.1699601	-0.025207626	-0.7447636	nan	0.015113876	0.08975	52.0	540.9367220401764
27	-4.3789706	1.7046025	-1.0	-11.0	4.3789706	-38.205265	3.3460891	-27.982382	-44.09128	112000	6.2942505e-08	1.0344884	-0.02708891	-0.6977585	nan	0.01503254	0.093	62.0	562.6697409152985
28	-4.3635373	1.6879816	-1.0	-10.0	4.3635373	-38.901367	3.3565633	-28.799543	-44.896484	116000	4.2676927e-08	1.0351775	-0.016775496	-0.6993242	nan	0.015543551	0.085	19.0	584.2606790065765
29	-4.4681563	1.641243	-1.0	-10.0	4.4681563	-39.564953	3.374702	-30.84625	-45.724426	120000	9.10759e-08	0.94957215	-0.028248405	-0.6290333	nan	0.015062219	0.10075	70.0	605.9299528598785
30	-4.558723	1.7172496	-1.0	-12.0	4.558723	-40.371746	3.5317218	-30.680056	-46.51915	124000	-1.5735626e-08	1.140282	-0.025925416	-0.7419685	nan	0.015055745	0.097	60.0	627.1924619674683
31	-4.3562093	1.6563469	-1.0	-13.0	4.3562093	-41.106842	3.5060368	-31.59123	-47.515774	128000	-1.4305114e-08	0.98276865	-0.019584915	-0.63514024	nan	0.015223294	0.082	35.0	648.7912118434906
32	-4.4052863	1.7291408	-1.0	-12.0	4.4052863	-41.763134	3.567206	-28.906157	-48.355236	132000	7.4863436e-08	0.9650366	-0.027051434	-0.63290024	nan	0.015057731	0.0905	63.0	670.4185898303986
33	-4.4444447	1.7256955	-1.0	-11.0	4.4444447	-42.441998	3.583831	-31.794725	-49.25666	136000	3.2663344e-08	0.8890727	-0.026926365	-0.58404744	nan	0.0150894625	0.0865	60.0	691.9269080162048
34	-4.4154696	1.7481745	-1.0	-10.0	4.4154696	-43.21079	3.5993025	-34.388386	-50.02548	140000	6.484986e-08	0.93790835	-0.028399074	-0.6138805	nan	0.015037861	0.08775	75.0	713.6049749851227
35	-4.5483503	1.6734884	-1.0	-11.0	4.5483503	-43.73642	3.7049592	-35.4426	-50.78657	144000	3.4332274e-08	0.7816154	-0.026614053	-0.5192038	nan	0.015057737	0.091	71.0	734.8028919696808
36	-4.509583	1.7542568	-1.0	-14.0	4.509583	-44.598804	3.8106084	-34.373043	-51.475708	148000	7.152557e-09	0.93042755	-0.029450258	-0.6322291	nan	0.015022849	0.10875	68.0	756.1466279029846
37	-4.41768	1.7234545	-1.0	-11.0	4.41768	-45.05318	3.7539713	-36.03141	-52.582333	152000	-7.5817105e-08	0.84752595	-0.007771806	-0.567624	nan	0.015103028	0.086	6.0	777.0422928333282
38	-4.424779	1.6831034	-1.0	-13.0	4.424779	-45.841843	3.7629323	-35.926468	-53.361206	156000	1.7642975e-08	0.67043626	-0.026343694	-0.46039432	nan	0.014316431	0.08375	79.0	798.8609991073608
39	-4.4052863	1.7342287	-1.0	-10.0	4.4052863	-46.588177	3.8275692	-36.308033	-54.09128	160000	-1.4841556e-08	0.7841517	-0.026632614	-0.5360099	nan	0.014445112	0.0925	79.0	821.1100828647614
40	-4.5288787	1.6839842	-1.0	-11.0	4.5288787	-46.999847	3.798433	-38.415512	-54.9881	164000	-4.148483e-08	0.73366773	-0.025475077	-0.4869174	nan	0.015222021	0.08825	65.0	842.2872889041901
41	-4.502252	1.6391864	-1.0	-10.0	4.502252	-47.773975	3.9422102	-38.245823	-55.682735	168000	9.846687e-08	0.80312395	-0.021175731	-0.5300685	nan	0.015058529	0.0775	37.0	863.3048229217529
42	-4.3572984	1.6438988	-1.0	-12.0	4.3572984	-48.382744	3.8870914	-39.216076	-56.459827	172000	-2.336502e-08	0.5684799	-0.024693258	-0.38169044	nan	0.015036239	0.08825	54.0	885.086847782135
43	-4.3106794	1.6377835	-1.0	-9.0	4.3106794	-48.91937	3.890735	-39.58923	-57.15333	176000	-8.392334e-08	0.6930341	-0.02590856	-0.4813404	nan	0.0133563345	0.0905	79.0	907.3398640155792
44	-4.385291	1.6498555	-1.0	-11.0	4.385291	-49.572468	3.9436474	-40.18397	-57.947327	180000	1.9073487e-07	0.7119526	-0.016897315	-0.4762598	nan	0.015152239	0.05775	21.0	928.7512271404266
45	-4.321081	1.6543599	-1.0	-10.0	4.321081	-50.21975	3.8314884	-41.68184	-58.726723	184000	-6.1273575e-08	0.5580617	-0.022518603	-0.3816461	nan	0.015179715	0.08825	36.0	950.2658090591431
