Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-7.8506875	4.2335205	-1.0	-22.0	7.8506875	0.12670864	0.08591632	0.44490093	-0.2021821	4000	0.30337468	41.73993	0.0	-29.982784	3.5957873	2.3777635	1.0	0.0	24.464622974395752
1	-7.9502983	4.2831583	-1.0	-21.0	7.9502983	-5.1405497	0.39397082	-1.2786472	-5.443538	8000	0.30085048	32.719284	0.0	-23.61087	3.595823	2.3697958	1.0	0.0	51.68213987350464
2	-7.9051385	4.4525266	-1.0	-22.0	7.9051385	-9.483977	1.3152062	0.21130222	-10.142048	12000	0.28857747	21.112133	0.0	-15.4122925	3.5957096	2.3864758	1.0	0.0	76.68399286270142
3	-7.9502983	4.202091	-1.0	-23.0	7.9502983	-12.457082	2.1886125	5.0939054	-14.2709875	16000	0.26480913	11.116833	0.0	-6.809311	3.5955985	2.3909464	1.0	0.0	102.66233396530151
4	-7.6846156	4.0540285	-1.0	-19.0	7.6846156	-14.192252	2.5545447	0.27765328	-16.728655	20000	0.2500299	7.155794	0.0	-4.126547	3.5958254	2.373575	1.0	0.0	129.93988800048828
5	-7.8757396	4.353051	-1.0	-21.0	7.8757396	-15.585877	2.6356428	-1.846193	-18.283812	24000	0.25686973	7.494249	0.0	-4.366754	3.5957782	2.382351	1.0	0.0	158.16207194328308
6	-7.6923075	4.0782657	-1.0	-22.0	7.6923075	-16.93998	2.760747	-0.43090382	-19.920074	28000	0.23031573	6.723184	0.0	-3.5046647	3.5959058	2.3714316	1.0	0.0	183.5309557914734
7	-8.105476	4.183546	-1.0	-21.0	8.105476	-17.70998	2.8951097	-0.39370972	-21.175093	32000	0.241145	7.6714516	0.0	-4.118904	3.595759	2.3806515	1.0	0.0	207.23727297782898
8	-7.9206347	4.164958	-1.0	-22.0	7.9206347	-18.59168	3.0288503	3.7962267	-22.179487	36000	0.23908293	8.55032	0.0	-5.2324877	3.596098	2.3794477	1.0	0.0	231.61395001411438
9	-7.7461243	4.2100244	-1.0	-22.0	7.7461243	-19.653172	3.0556579	1.746263	-23.318123	40000	0.22716372	8.664532	0.0	-5.218021	3.5957148	2.390641	1.0	0.0	256.75294303894043
10	-7.8565817	4.441838	-1.0	-22.0	7.8565817	-20.787968	3.0009358	0.57656986	-24.38514	44000	0.23310754	10.713467	0.0	-6.5770397	3.5956595	2.397382	1.0	0.0	280.9296979904175
11	-7.823875	4.338908	-1.0	-21.0	7.823875	-21.631351	3.248249	-1.8680577	-25.835766	48000	0.236554	9.339895	0.0	-5.8905296	3.5959196	2.392474	1.0	0.0	304.13033986091614
12	-7.766537	4.199774	-1.0	-22.0	7.766537	-22.816341	3.1708171	-3.423019	-26.707445	52000	0.23353845	9.596576	0.0	-6.041052	3.5958548	2.362197	1.0	0.0	327.64422583580017
13	-7.9305553	4.3499155	-1.0	-23.0	7.9305553	-23.973976	3.221445	12.343382	-28.068544	56000	0.22336163	12.4769945	0.0	-8.424456	3.595553	2.374814	1.0	0.0	350.51132702827454
14	-7.8853755	4.419538	-1.0	-23.0	7.8853755	-24.881891	3.5171738	10.450055	-29.377806	60000	0.23120317	11.260414	0.0	-7.437157	3.5957046	2.369083	1.0	0.0	373.63209891319275
15	-7.5329566	4.0356636	-1.0	-21.0	7.5329566	-25.980608	3.5556588	3.7042055	-30.45735	64000	0.21998262	12.07349	0.0	-7.970034	3.5958145	2.3767135	1.0	0.0	397.3093309402466
16	-8.072727	4.133964	-1.0	-22.0	8.072727	-26.712782	3.6639407	-2.8735597	-31.42632	68000	0.23915988	12.19925	0.0	-8.281017	3.5959785	2.36767	1.0	0.0	420.04298090934753
17	-8.016065	4.248759	-1.0	-26.0	8.016065	-27.743237	3.7267253	-2.9319553	-32.420406	72000	0.23417406	13.9197035	0.0	-8.766987	3.5957158	2.383695	1.0	0.0	444.3266019821167
18	-7.7412453	4.2833915	-1.0	-25.0	7.7412453	-28.623163	3.871665	-1.7901068	-33.50637	76000	0.22537173	13.871593	0.0	-8.909727	3.5959048	2.35841	1.0	0.0	469.47000193595886
19	-7.901186	4.2970386	-1.0	-21.0	7.901186	-29.63001	4.153654	8.467374	-34.62186	80000	0.22741967	15.868648	0.0	-10.159659	3.5957677	2.3901877	1.0	0.0	495.11852979660034
20	-7.887574	4.31469	-1.0	-21.0	7.887574	-30.367191	4.6025696	4.4516697	-35.80063	84000	0.22631389	19.192392	0.0	-13.270842	3.595986	2.377129	1.0	0.0	519.4465968608856
21	-7.812133	4.2139373	-1.0	-22.0	7.812133	-31.432972	4.510229	2.8654544	-36.94316	88000	0.2300712	18.63951	0.0	-12.570233	3.5958078	2.3706648	1.0	0.0	543.5843939781189
22	-7.852652	4.2184806	-1.0	-22.0	7.852652	-32.527534	4.7308426	-0.1187323	-38.33759	92000	0.22765243	20.583109	0.0	-13.593917	3.5956175	2.380171	1.0	0.0	567.233167886734
23	-7.9345236	4.2226806	-1.0	-21.0	7.9345236	-33.238556	4.70936	16.475029	-39.207947	96000	0.2197889	25.45939	0.0	-17.406244	3.595616	2.3980808	1.0	0.0	590.121992111206
24	-7.6955686	4.258031	-1.0	-22.0	7.6955686	-33.960564	4.870391	3.835986	-40.122738	100000	0.23602036	20.958307	0.0	-14.322876	3.5958126	2.3864849	1.0	0.0	615.9274210929871
25	-7.6405354	4.158067	-1.0	-22.0	7.6405354	-34.843296	5.1871896	7.4954014	-41.140793	104000	0.22499417	20.905594	0.0	-12.478425	3.5958178	2.3850794	1.0	0.0	639.4962139129639
26	-7.98004	4.247766	-1.0	-25.0	7.98004	-35.922092	4.9365025	-0.26773152	-41.92096	108000	0.22049297	22.644917	0.0	-14.835207	3.595802	2.347547	1.0	0.0	662.034451007843
27	-7.7762647	3.8677733	-1.0	-21.0	7.7762647	-36.82573	4.8631053	0.9610343	-42.769394	112000	0.22300358	19.699694	0.0	-12.470879	3.595816	2.3839874	1.0	0.0	685.7996790409088
28	-7.768031	4.047331	-1.0	-21.0	7.768031	-37.16542	5.3457236	4.5284247	-43.553997	116000	0.22297521	24.87238	0.0	-15.572007	3.5959506	2.3739762	1.0	0.0	708.4546310901642
29	-7.7234044	4.121803	-1.0	-23.0	7.7234044	-38.01539	5.726734	9.648738	-44.558796	120000	0.21808933	31.476913	0.0	-20.417412	3.595903	2.3846786	1.0	0.0	731.9358208179474
30	-7.9089108	4.3481665	-1.0	-24.0	7.9089108	-38.684612	6.1849008	16.847069	-45.432224	124000	0.2118238	41.8813	0.0	-28.622295	3.5957358	2.3846424	1.0	0.0	755.1593840122223
