Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-9.226328	3.8827562	-3.0	-24.0	9.226328	0.124090225	0.08758936	0.46503037	-0.23769669	4000	-1.4472008e-07	46.34875	-0.0662429	-33.8779	nan	0.015038456	0.33775	48.0	20.762013912200928
1	-8.492569	3.6740105	-3.0	-20.0	8.492569	-5.5318613	0.33935526	-2.2636144	-5.798259	8000	2.2935868e-07	31.163313	-0.024022585	-22.732674	nan	0.018920073	0.213	7.0	45.69032883644104
2	-7.976048	3.3318498	-3.0	-22.0	7.976048	-9.792098	1.260522	2.1284835	-10.39565	12000	7.152558e-08	15.542233	-0.020930307	-11.622616	nan	0.01667674	0.2305	6.0	71.79188394546509
3	-7.308958	3.0380843	-3.0	-18.0	7.308958	-12.337373	2.0031664	-0.07470694	-14.012957	16000	-2.5510788e-08	5.9176564	-0.025132718	-3.4220762	nan	0.015068905	0.2265	8.0	95.35453701019287
4	-7.207207	2.8262513	-3.0	-19.0	7.207207	-13.700829	2.131123	0.65568453	-15.7615795	20000	3.504753e-08	4.380541	-0.026728665	-2.418631	nan	0.015244339	0.1555	8.0	118.84156894683838
5	-6.7386174	2.4219644	-3.0	-17.0	6.7386174	-14.777523	2.1203191	-2.4530466	-17.094055	24000	2.8610229e-08	2.630415	-0.03712807	-1.3172165	nan	0.015078747	0.237	13.0	143.77550601959229
6	-6.3984	2.1702712	-3.0	-19.0	6.3984	-15.636291	2.0298834	-7.168141	-17.942692	28000	-3.170967e-08	2.6993978	-0.042038128	-1.2909662	nan	0.015278006	0.30325	17.0	170.20867085456848
7	-6.0015016	1.9883287	-3.0	-17.0	6.0015016	-16.433186	1.9974203	-2.1840096	-18.804626	32000	9.059906e-09	2.1681504	-0.032300852	-1.0014215	nan	0.015068341	0.22125	14.0	198.91174578666687
8	-5.89823	1.9040316	-3.0	-16.0	5.89823	-17.203102	1.9167676	-6.1689773	-19.486086	36000	-2.336502e-08	1.9287752	-0.03016859	-0.9801848	nan	0.015925083	0.15	9.0	226.81264686584473
9	-5.6899004	1.8331537	-3.0	-15.0	5.6899004	-17.880163	1.9117323	-7.191899	-20.316303	40000	8.916855e-08	1.713116	-0.044639047	-0.8779433	nan	0.015014519	0.26425	30.0	258.2588219642639
10	-5.5242047	1.6135348	-3.0	-14.0	5.5242047	-18.551552	1.8217306	-11.068773	-21.089594	44000	7.629395e-09	1.3969009	-0.038238656	-0.6434227	nan	0.0150676025	0.1785	52.0	288.73139476776123
11	-5.4631147	1.7066265	-3.0	-16.0	5.4631147	-19.15477	1.8717014	-4.9436784	-21.71033	48000	1.1920929e-08	1.3851358	-0.03801919	-0.69511324	nan	0.015028866	0.15025	75.0	320.08153200149536
12	-5.438095	1.6225172	-3.0	-16.0	5.438095	-19.791634	1.8530781	1.0458248	-22.382927	52000	-3.0994416e-09	1.5269961	-0.025831372	-1.0705639	nan	0.011038427	0.10725	79.0	351.5188388824463
13	-5.3867927	1.5207418	-3.0	-16.0	5.3867927	-20.399485	2.0456593	3.1868339	-23.012144	56000	5.6743623e-08	1.1200386	-0.02287144	-0.7636518	nan	0.015290484	0.11925	52.0	382.52564692497253
