Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-35.4375	11.206489	-13.0	-61.0	35.4375	-0.12572703	0.17460014	0.58039904	-0.7122805	4000	5.6266785e-08	410.0848	-0.12550986	-236.60268	nan	0.015079955	0.508	14.0	25.192891836166382
1	-35.783783	11.494146	-12.0	-73.0	35.783783	-9.367662	0.6521844	8.902278	-9.40508	8000	-5.4836273e-09	348.30432	-0.12490525	-154.01657	nan	0.015057367	0.4925	20.0	48.070738792419434
2	-35.92793	10.611665	-11.0	-63.0	35.92793	-15.253697	0.7593738	12.444046	-15.2834015	12000	1.6146899e-07	297.90845	-0.12870845	-130.17613	nan	0.01562422	0.532	22.0	70.7857928276062
3	-37.339622	10.46818	-14.0	-72.0	37.339622	-20.5493	1.2225624	19.302006	-20.613798	16000	1.7404556e-08	275.34494	-0.119479254	-121.027115	nan	0.015233898	0.47625	19.0	93.10212182998657
4	-38.46154	11.242025	-10.0	-79.0	38.46154	-25.667864	1.0878768	16.64375	-25.7098	20000	1.5330315e-07	256.74966	-0.12615794	-113.710495	nan	0.016504977	0.522	21.0	114.81271696090698
5	-37.857143	11.805106	-12.0	-77.0	37.857143	-30.631666	1.1943926	12.749151	-30.681568	24000	8.058548e-08	222.06638	-0.11971706	-99.04632	nan	0.016013108	0.4905	19.0	137.18328380584717
6	-36.59633	11.354279	-12.0	-91.0	36.59633	-35.25565	2.1334386	33.941715	-35.357143	28000	7.7009204e-08	187.62047	-0.11794179	-87.28684	nan	0.015996324	0.5415	24.0	160.66324400901794
7	-36.522934	11.314193	-12.0	-67.0	36.522934	-39.61041	1.7062182	32.44848	-39.69626	32000	-8.1539156e-08	160.5524	-0.124798834	-75.73318	nan	0.016145749	0.57275	24.0	187.03879070281982
8	-35.864864	11.295767	-15.0	-71.0	35.864864	-43.817005	0.6685493	-8.670545	-43.841953	36000	-1.039505e-07	133.4884	-0.10501971	-62.49276	nan	0.015135727	0.36075	13.0	210.66990780830383
9	-35.945946	11.112721	-11.0	-64.0	35.945946	-47.705868	1.5650582	20.968496	-47.758213	40000	5.8174134e-08	117.13816	-0.114183426	-57.67471	nan	0.015924245	0.51325	21.0	233.21004796028137
