Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-201.6341	128.70767	54.945335	-493.75372	88.22222	-0.0889807	0.03197607	0.08013722	-0.21828401	4000	-7.033348e-08	35772.16	-0.011363065	-1296.3125	1.3506128	0.013421961	0.22375	79.0	2.144120931625366
1	-185.13866	89.299736	-9.044873	-402.86566	86.58696	-4.169852	0.38979888	-0.8960955	-4.585618	8000	3.695488e-09	23047.543	-0.007950768	-1030.3066	1.3625212	0.007818155	0.04	79.0	4.3418660163879395
2	-145.09872	87.38604	-44.270233	-415.1963	87.155556	-8.151985	0.09592064	-6.8177633	-8.256608	12000	8.702278e-09	15929.234	-0.011661423	-563.8535	1.3432791	0.012108497	0.08975	79.0	6.532683849334717
3	-128.74281	70.2689	-8.323936	-315.78973	89.068184	-10.856959	0.12029592	-8.037187	-10.936335	16000	-3.170967e-08	11544.845	-0.015319581	-420.87598	1.3180845	0.011489131	0.1185	79.0	8.733239889144897
4	-115.636284	74.72768	9.037819	-404.75793	90.51163	-13.217818	0.07223795	-11.9803915	-13.262038	20000	-1.9609928e-08	11739.378	-0.011296754	-331.94434	1.3362204	0.007966631	0.05775	79.0	10.935306787490845
5	-116.680176	74.14409	42.684006	-305.8833	89.068184	-15.347933	0.09450655	-13.420688	-15.391728	24000	3.385544e-08	11524.623	-0.00931956	-388.91113	1.323857	0.009379871	0.0665	79.0	13.11990213394165
6	-104.219376	44.600086	-25.958616	-227.46165	100.30769	-17.68207	0.038731314	-16.63624	-17.709068	28000	2.8431415e-08	5385.584	-0.007735086	-234.36914	1.3338628	0.0061379005	0.077	79.0	15.403314113616943
7	-100.4964	77.72882	-22.733036	-400.90472	100.8421	-19.550137	0.17694907	-12.815339	-19.584995	32000	1.1920929e-09	10853.532	-0.0105401715	-306.4961	1.3218751	0.008900767	0.075	79.0	17.82211995124817
8	-125.73202	70.55774	-34.834465	-299.74344	113.34286	-21.699957	0.032696087	-20.029043	-21.71998	36000	-7.051229e-08	8670.182	-0.013378573	-371.3086	1.2760808	0.013873454	0.1175	79.0	20.178850889205933
9	-73.09031	42.084404	-14.824242	-219.60986	108.611115	-24.08652	0.0139157325	-23.891075	-24.1027	40000	2.3961068e-08	2602.5715	-0.0091602225	-107.13281	1.3014355	0.01544256	0.23325	19.0	22.398528814315796
10	-68.5265	44.526745	-1.5211574	-212.99928	133.82759	-25.46078	0.046646032	-24.684874	-25.480688	44000	6.1631205e-08	2643.5925	-0.012637018	-87.76123	1.2575517	0.013589897	0.12	79.0	24.80406379699707
11	-87.91345	63.12821	4.0782084	-272.25635	151.6923	-26.685213	0.0398378	-25.625362	-26.70493	48000	9.536744e-10	6292.35	-0.010715297	-228.45264	1.2072608	0.005872879	0.0825	79.0	27.737215995788574
12	-58.67491	55.260014	7.0547757	-231.49313	146.62962	-28.650715	0.032158766	-28.40178	-28.670097	52000	-2.9802323e-09	3006.2046	-0.0070768488	-90.93262	1.1921679	0.0072788293	0.06325	79.0	30.812909841537476
13	-44.663975	47.073376	17.651842	-182.57352	155.8	-29.981003	0.06035284	-29.09494	-30.006933	56000	1.6689301e-09	3533.718	-0.006260959	-63.031982	1.1998588	0.015633848	0.13225	23.0	33.07047486305237
14	-20.96478	62.73436	32.253128	-190.93332	336.18182	-30.962343	0.35625178	-28.867233	-31.111725	60000	-1.1563301e-08	2915.615	-0.009240758	-19.677246	1.206987	0.008126342	0.09825	79.0	37.043715953826904
15	-61.534794	67.20455	21.575226	-188.25198	237.0625	-31.685928	0.10026701	-30.330286	-31.719772	64000	3.4570693e-09	4329.03	-0.01087896	-87.478516	1.1908658	0.010016613	0.186	79.0	40.2975709438324
16	-89.89739	89.17585	81.523315	-194.92303	391.4	-32.922558	0.3114446	-28.166552	-33.036243	68000	-5.3644182e-09	6222.0254	-0.009692869	-238.50049	1.2085096	0.012556726	0.13425	79.0	44.52722501754761
17	-94.18925	82.98163	66.361206	-201.55981	385.1	-35.210384	0.045470785	-34.94855	-35.23375	72000	2.503395e-09	4285.3887	-0.009700879	-82.24414	1.181489	0.009591198	0.12875	79.0	49.144789934158325
18	-49.644073	71.181786	40.0284	-160.41768	383.4	-36.63586	0.045088295	-36.372066	-36.65228	76000	4.7683715e-09	2548.133	-0.007886329	-14.510742	1.151866	0.009527254	0.09025	79.0	52.62888312339783
19	-56.06978	60.11069	59.937687	-154.23085	353.0909	-37.2661	0.038003076	-36.95445	-37.28208	80000	5.9604646e-09	3149.2996	-0.008562053	-50.18799	1.1373652	0.009809181	0.12225	79.0	56.19627404212952
20	-9.307866	42.001537	31.40467	-78.79777	609.6667	-38.34126	0.05321968	-38.055405	-38.360527	84000	3.0398368e-09	1211.3152	-0.009921197	-0.15258789	1.0929044	0.0057674474	0.0815	79.0	61.24223494529724
21	-14.46095	58.162884	91.28562	-155.37381	318.0909	-38.3245	0.028424634	-38.103245	-38.335804	88000	5.00679e-09	2840.6814	-0.009090357	-3.1271973	1.1075904	0.011683212	0.117	79.0	65.71724820137024
22	-23.335888	85.87056	111.8512	-160.62466	471.85715	-38.586884	0.025587877	-38.42347	-38.596485	92000	9.894371e-09	2646.9788	-0.0072659743	-0.2770996	1.1242876	0.013387403	0.16025	79.0	70.71775507926941
23	-55.998707	67.70675	26.543398	-214.356	283.7857	-38.522274	0.009256772	-38.41141	-38.528267	96000	-9.536744e-10	5389.824	-0.009663945	-176.96631	1.0821234	0.011270016	0.04425	79.0	73.81527996063232
24	-25.979286	48.671932	44.19054	-105.55232	462.125	-40.660587	0.021872403	-40.527843	-40.67105	100000	6.556511e-10	1873.582	-0.007969651	-1.0888672	1.1274408	0.0055513666	0.035	79.0	78.85676407814026
25	33.059074	50.01501	90.1405	-42.7978	812.75	-41.00475	0.030342882	-40.838215	-41.017834	104000	7.629395e-09	1291.1593	-0.008181022	-3.5314941	1.167896	0.0057691755	0.07325	79.0	84.53407692909241
26	0.54329807	84.47934	121.85982	-161.42024	658.5	-40.69438	0.034991156	-40.334454	-40.707653	108000	-6.377697e-09	1828.6324	-0.008690035	-0.041992188	1.0640948	0.005640064	0.046	79.0	90.42844772338867
27	45.66289	5.5143175	54.981457	41.075943	822.75	-40.710213	0.037120685	-40.442204	-40.724712	112000	1.5735626e-08	1076.6022	-0.0087115485	-47.134644	1.0834745	0.0073431646	0.09475	79.0	96.57839488983154
28	21.79501	71.32197	120.66712	-63.56967	649.0	-39.515488	0.03804099	-39.08411	-39.5291	116000	-3.4570693e-09	1804.5404	-0.009635892	-34.72473	1.1047173	0.007081307	0.1595	79.0	101.84346985816956
29	47.384163	48.719307	123.152954	0.13096197	772.2	-38.38056	0.06518736	-37.80582	-38.403656	120000	8.5830685e-09	2704.579	-0.005641302	-98.94165	0.99776894	0.008566453	0.0925	79.0	106.88176703453064
30	28.680578	79.008965	151.61507	-68.78199	725.2	-36.53188	0.15257679	-35.184162	-36.587162	124000	1.37090685e-08	3245.931	-0.006671821	-45.063477	0.9824177	0.006763712	0.08175	79.0	111.79579782485962
31	8.250771	64.666336	57.06468	-119.057495	790.8	-35.176323	0.20894185	-33.389023	-35.26485	128000	-8.106232e-09	2280.618	-0.0076275575	-11.996338	1.0276829	0.0059539154	0.09725	79.0	117.77056908607483
