Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-7.8506875	4.2335205	-1.0	-22.0	7.8506875	0.12670864	0.08591632	0.44490093	-0.2021821	4000	3.4332274e-08	45.60065	-0.030961104	-31.997658	nan	0.015007521	0.2005	10.0	16.457130193710327
1	-7.3223443	3.9865313	-1.0	-22.0	7.3223443	-5.3806067	0.30116063	-1.2054005	-5.6229153	8000	-3.9339067e-08	35.948307	-0.026937818	-25.019768	nan	0.015294727	0.2565	14.0	36.15256404876709
2	-6.9616723	3.5591462	-1.0	-18.0	6.9616723	-9.865242	1.3313996	2.3731914	-10.393221	12000	1.990795e-08	21.310827	-0.07121665	-15.148838	nan	0.0038205711	0.3835	79.0	56.52233815193176
3	-6.504065	3.3557959	-1.0	-19.0	6.504065	-12.6389265	2.2227426	2.2448463	-14.396575	16000	-6.699562e-08	10.487868	-0.078134865	-6.0982738	nan	0.012345911	0.386	79.0	77.56797122955322
4	-6.163328	3.2380364	-1.0	-21.0	6.163328	-14.242176	2.6102715	2.421209	-16.662054	20000	2.992153e-08	8.437994	-0.044421252	-4.4536543	nan	0.015721606	0.231	14.0	98.17554211616516
5	-6.0286574	2.8285484	-1.0	-15.0	6.0286574	-15.451651	2.8052511	-2.600213	-18.297747	24000	6.771088e-08	6.095842	-0.029994966	-2.8976727	nan	0.015198158	0.18625	7.0	118.75076913833618
6	-6.0045047	2.850896	-1.0	-16.0	6.0045047	-16.267447	2.9189866	-1.9306486	-19.44024	28000	6.6757204e-09	6.0602913	-0.034297172	-2.7179792	nan	0.017012054	0.2235	6.0	139.787207365036
7	-5.755396	2.712194	-1.0	-15.0	5.755396	-17.121862	2.9956062	-1.6386666	-20.549099	32000	-5.722046e-09	5.503038	-0.034441944	-2.2062094	nan	0.017575083	0.21575	7.0	160.8526532649994
8	-5.577406	2.6604586	-1.0	-16.0	5.577406	-17.503817	3.2712362	6.27751	-21.20907	36000	6.1392784e-09	6.694821	-0.035472285	-2.7983034	nan	0.015866857	0.18775	8.0	182.24401926994324
9	-5.2900662	2.4853146	-1.0	-14.0	5.2900662	-18.199081	3.3795927	-0.7520235	-22.187878	40000	3.027916e-08	5.8649316	-0.037187614	-2.092045	nan	0.016171264	0.16275	13.0	204.80342316627502
10	-5.4252715	2.5135205	-1.0	-16.0	5.4252715	-18.16798	3.8190618	3.8556843	-23.12949	44000	1.0967255e-08	5.158979	-0.031287953	-1.9699185	nan	0.015666725	0.14275	17.0	227.9891242980957
11	-5.2549276	2.4291656	-1.0	-16.0	5.2549276	-19.005922	3.6294446	-0.92454827	-23.805561	48000	-2.384186e-10	5.0113993	-0.028534958	-2.3302329	nan	0.015146676	0.12325	20.0	250.75927829742432
12	-5.1815825	2.2167206	-1.0	-15.0	5.1815825	-20.009512	3.5141044	-0.07696071	-24.758045	52000	-1.3351441e-08	4.3876185	-0.030740298	-2.1266246	nan	0.014264501	0.11475	79.0	275.56416630744934
13	-5.24147	2.1479313	-1.0	-13.0	5.24147	-20.238863	3.650806	-4.692226	-25.710835	56000	9.536743e-09	3.544966	-0.027803037	-1.7524283	nan	0.0150914015	0.096	71.0	300.9451892375946
14	-5.0138016	2.0952382	-1.0	-12.0	5.0138016	-21.46405	3.4032032	-7.935985	-26.57555	60000	-4.053116e-08	3.5077975	-0.021845082	-1.78098	nan	0.0074162134	0.0735	79.0	325.754887342453
15	-5.07878	2.1109974	-1.0	-13.0	5.07878	-22.395609	3.3356185	-9.963467	-27.477072	64000	1.859665e-08	3.4515302	-0.023622453	-1.9196457	nan	0.006869957	0.0745	79.0	350.73667216300964
16	-5.0175657	2.0488863	-1.0	-12.0	5.0175657	-23.390965	3.2717152	-10.287149	-28.427177	68000	-2.9802322e-08	2.0520337	-0.022595342	-1.185755	nan	0.0096265515	0.08525	79.0	376.06897830963135
17	-5.010025	2.1374803	-1.0	-14.0	5.010025	-24.346724	3.3879938	-12.258653	-29.32635	72000	-2.9563903e-08	2.440352	-0.02226366	-1.4555393	nan	0.015085551	0.09	47.0	400.54060912132263
18	-5.123077	2.183911	-1.0	-13.0	5.123077	-25.344128	3.4979641	-11.225077	-30.470142	76000	8.106232e-09	3.2952905	-0.025923973	-1.8031136	nan	0.009628609	0.0795	79.0	425.14474606513977
19	-5.3691278	2.2181346	-1.0	-14.0	5.3691278	-25.993095	3.6957812	-9.962934	-31.659712	80000	7.390976e-09	2.9393063	-0.026919646	-1.6611662	nan	0.015041311	0.1005	73.0	450.17038321495056
20	-5.2154045	2.2206771	-1.0	-14.0	5.2154045	-26.8833	3.8262908	-11.613972	-32.852585	84000	3.3140182e-08	2.8722632	-0.025724996	-1.699679	nan	0.015069401	0.09725	64.0	474.69474816322327
21	-5.285714	2.2893488	-1.0	-14.0	5.285714	-27.70964	4.0481524	-10.961039	-34.05339	88000	2.771616e-08	2.87492	-0.021140493	-1.6897429	nan	0.011841568	0.071	79.0	498.07019114494324
22	-5.2970824	2.470906	-1.0	-15.0	5.2970824	-28.848398	3.912953	-5.4397173	-35.10005	92000	-7.9870226e-08	3.8233263	-0.022941137	-1.8686407	nan	0.00944654	0.06475	79.0	522.8474042415619
23	-5.402703	2.2475195	-1.0	-15.0	5.402703	-29.558344	4.081944	-1.2718395	-36.19035	96000	2.193451e-08	3.062424	-0.017675823	-1.6418319	nan	0.012512825	0.06975	79.0	545.824410200119
24	-5.404054	2.56857	-1.0	-15.0	5.404054	-30.787214	4.5029373	-3.583734	-37.32024	100000	-1.168251e-08	5.733824	-0.012652324	-2.643286	nan	0.015444052	0.0715	6.0	567.3457081317902
25	-5.3691278	2.3036273	-1.0	-14.0	5.3691278	-31.763569	4.9882874	3.9825907	-38.92639	104000	-3.8146974e-09	4.795957	-0.019725384	-2.0612915	nan	0.01293375	0.0755	79.0	591.3426003456116
26	-5.5788007	2.499316	-1.0	-17.0	5.5788007	-31.82891	5.301208	5.2766504	-39.843742	108000	-1.525879e-08	7.630999	-0.018680576	-3.9782603	nan	0.014255406	0.075	79.0	613.713632106781
27	-5.4400544	2.4817762	-1.0	-16.0	5.4400544	-32.941345	5.4907794	-1.0726271	-40.747826	112000	3.5762786e-09	6.7773867	-0.018988162	-3.4772773	nan	0.013621512	0.06825	79.0	636.3770842552185
28	-5.411924	2.448044	-1.0	-14.0	5.411924	-33.807606	5.5940866	-6.748333	-41.851673	116000	-1.3589859e-08	4.458281	-0.018485118	-2.3152113	nan	0.0144266775	0.07375	79.0	659.1216630935669
29	-5.5605006	2.5526767	-1.0	-15.0	5.5605006	-34.61526	5.9239345	3.8315823	-43.140026	120000	9.596348e-09	5.6792364	-0.015656395	-2.2997663	nan	0.014854997	0.0625	79.0	681.490510225296
