Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-7.8506875	4.2335205	-1.0	-22.0	7.8506875	0.12670864	0.08591632	0.44490093	-0.2021821	4000	-2.3841857e-09	41.73993	-0.06625404	-29.982784	nan	0.015114986	0.325	48.0	16.777419805526733
1	-7.2427535	3.9483693	-1.0	-20.0	7.2427535	-5.147276	0.37652344	-1.6332781	-5.4422846	8000	5.722046e-09	27.829556	-0.019972635	-20.086725	nan	0.015803251	0.2275	8.0	35.12538504600525
2	-7.0440917	3.6379097	-1.0	-21.0	7.0440917	-9.147994	1.2841427	3.9754064	-9.822735	12000	2.1457671e-09	15.203535	-0.07591156	-11.493222	nan	0.00864113	0.3845	79.0	54.986419916152954
3	-6.554098	3.4576395	-1.0	-21.0	6.554098	-11.696343	1.9861578	0.00060144067	-13.544921	16000	1.5735626e-08	7.0593348	-0.030682897	-4.1242385	nan	0.016271401	0.23	7.0	74.3451840877533
4	-6.1728396	3.1389236	-1.0	-16.0	6.1728396	-13.013728	2.2804265	0.5416723	-15.452539	20000	1.07288365e-08	4.424997	-0.028166855	-2.2921174	nan	0.016956912	0.23575	6.0	97.29798483848572
5	-6.2700157	3.0468755	-1.0	-19.0	6.2700157	-13.929291	2.286725	-2.3407154	-16.664986	24000	-8.8214875e-08	4.293568	-0.031795476	-2.2853553	nan	0.01596049	0.185	6.0	118.00931572914124
6	-6.086758	2.932019	-1.0	-17.0	6.086758	-15.046897	2.2095304	-4.693024	-17.809557	28000	-2.6226044e-08	4.2472725	-0.036743194	-2.271124	nan	0.015707161	0.20475	8.0	138.72356581687927
7	-5.658156	2.745626	-1.0	-17.0	5.658156	-15.948956	2.2030196	-8.825281	-19.14228	32000	7.7009204e-08	3.270612	-0.041131545	-1.6785293	nan	0.015966222	0.2945	12.0	161.79844784736633
8	-5.234293	2.4342294	-1.0	-16.0	5.234293	-16.897282	2.1582062	-6.546646	-20.087955	36000	-1.2993812e-08	2.6909497	-0.041582976	-1.2070695	nan	0.015261443	0.22775	19.0	186.4184558391571
9	-4.972603	2.3374681	-1.0	-15.0	4.972603	-17.604298	2.1317859	4.2420416	-20.84894	40000	5.9604643e-10	2.8488116	-0.030024322	-1.5338945	nan	0.015186523	0.17875	22.0	211.29263377189636
10	-5.082592	2.259986	-1.0	-17.0	5.082592	-18.32243	2.171803	-8.679583	-21.708023	44000	1.2874604e-08	2.5013368	-0.015284446	-1.2226291	nan	0.016322594	0.11375	6.0	235.55384182929993
11	-4.8875303	2.2101269	-1.0	-14.0	4.8875303	-18.970718	2.0629296	-10.946145	-22.609385	48000	8.5830685e-09	1.9611076	-0.028847119	-0.94216406	nan	0.01546568	0.1235	12.0	260.0750527381897
12	-4.991261	2.150092	-1.0	-14.0	4.991261	-19.668177	2.0824573	-1.5937437	-23.335028	52000	2.3841857e-09	2.0981362	-0.026356695	-1.1904534	nan	0.0150545435	0.10175	21.0	284.569326877594
13	-4.879121	2.0449865	-1.0	-12.0	4.879121	-20.325191	1.9073819	-10.075236	-23.946829	56000	-1.5974045e-08	1.6327477	-0.027280523	-0.82571626	nan	0.015069966	0.0925	29.0	310.2306749820709
14	-4.6620045	1.9718242	-1.0	-12.0	4.6620045	-20.995926	1.7856754	-14.169325	-24.523296	60000	-1.45435335e-08	1.2467748	-0.026915882	-0.6962662	nan	0.00962511	0.07725	79.0	338.6622779369354
