Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-8.224279	4.167421	-1.0	-19.0	8.224279	0.12138569	0.09210207	0.49719495	-0.2462116	4000	1.2493133e-07	42.827732	-0.0701133	-31.096148	nan	0.015073816	0.34125	64.0	16.48574995994568
1	-7.5310736	4.0825377	-1.0	-28.0	7.5310736	-5.2464414	0.41366196	1.7998018	-5.555532	8000	3.242493e-08	31.003283	-0.029569177	-21.928501	nan	0.0153774135	0.26475	10.0	32.97614598274231
2	-7.113879	3.4699297	-1.0	-18.0	7.113879	-9.194375	1.379324	0.9924333	-10.1116905	12000	-2.861023e-09	14.198967	-0.029722799	-10.36764	nan	0.015688332	0.24075	10.0	50.41576790809631
3	-6.575658	3.1965542	-1.0	-19.0	6.575658	-11.541825	1.9982138	0.3811968	-13.464772	16000	2.503395e-08	6.416239	-0.050898675	-3.8883119	nan	0.015083914	0.3055	23.0	68.9551088809967
4	-6.2003107	2.9857738	-1.0	-19.0	6.2003107	-12.9566555	2.2813303	-1.7308643	-15.397977	20000	4.768372e-10	4.3772335	-0.03641239	-2.0745394	nan	0.015106952	0.219	10.0	88.26155090332031
5	-6.224299	2.9210007	-1.0	-19.0	6.224299	-13.722431	2.3324783	-3.577919	-16.583855	24000	1.6212464e-08	4.1791477	-0.036258914	-2.1713276	nan	0.015567527	0.207	8.0	107.47324085235596
6	-5.830657	2.6773875	-1.0	-16.0	5.830657	-14.723172	2.3667545	-3.0697172	-17.64965	28000	-1.001358e-08	3.0751686	-0.037050847	-1.4856249	nan	0.015508868	0.1615	9.0	127.72600197792053
7	-5.6426554	2.6033962	-1.0	-17.0	5.6426554	-15.505053	2.3118098	-0.12639114	-18.4871	32000	6.198883e-09	2.9587104	-0.037894424	-1.4556199	nan	0.01570507	0.1765	12.0	149.55321097373962
8	-5.352075	2.3406096	-1.0	-16.0	5.352075	-16.149961	2.2833936	-4.6813273	-19.33811	36000	-6.7472456e-08	2.5405684	-0.037294727	-1.2679843	nan	0.015061421	0.1715	19.0	176.8383388519287
9	-5.3333335	2.397962	-1.0	-15.0	5.3333335	-16.721745	2.271016	-5.9880004	-19.889095	40000	0.0	2.0352447	-0.038313463	-1.0917947	nan	0.0150148375	0.16	24.0	202.56469774246216
10	-5.1349616	2.2756193	-1.0	-18.0	5.1349616	-17.41671	2.0662858	-8.482284	-20.38987	44000	-3.2901763e-08	1.7479962	-0.03260162	-0.9926739	nan	0.015577191	0.1185	22.0	225.6052107810974
11	-5.102171	2.2459915	-1.0	-15.0	5.102171	-18.11859	2.0060582	-4.668152	-20.866817	48000	-2.336502e-08	1.7093143	-0.03816845	-1.0018266	nan	0.015056598	0.12475	47.0	250.77500891685486
12	-5.132391	2.259332	-1.0	-15.0	5.132391	-18.850567	1.986466	-7.177249	-21.601557	52000	3.6239623e-08	1.7702625	-0.035299327	-1.0991371	nan	0.012811082	0.10775	79.0	275.99208092689514
13	-5.044136	2.089865	-1.0	-13.0	5.044136	-19.632149	1.9794022	-8.79302	-22.295914	56000	4.9591065e-08	1.1681306	-0.032422602	-0.7961135	nan	0.010008259	0.10425	79.0	301.05569100379944
14	-4.954151	2.0722106	-1.0	-13.0	4.954151	-20.412645	1.8372797	-13.19955	-22.864752	60000	-3.5762786e-09	1.1282954	-0.030930959	-0.809718	nan	0.015001611	0.09075	63.0	325.8986120223999
15	-4.968944	2.0412588	-1.0	-13.0	4.968944	-21.166042	1.8613584	-8.248885	-23.606089	64000	1.0204315e-07	1.1978158	-0.029787457	-0.8506276	nan	0.013757181	0.09675	79.0	351.52481293678284
16	-4.970149	1.9954188	-1.0	-12.0	4.970149	-21.975206	1.7731578	-14.931398	-24.353706	68000	4.6253206e-08	1.0001388	-0.029463636	-0.7508648	nan	0.014830346	0.1025	79.0	377.3096749782562
17	-5.0671735	2.0993812	-1.0	-14.0	5.0671735	-22.725124	1.7821988	-13.636141	-25.111572	72000	-9.274483e-08	1.0860624	-0.026755944	-0.8005246	nan	0.015075244	0.08325	42.0	402.4871370792389
